1; 0; 10; 0.5; 2; 2
2; 69.3147; 20; 2; 4; 4
3; 109.861; 30; 4.5; 8; 12
4; 138.629; 40; 8; 16; 48
5; 160.944; 50; 12.5; 32; 240
6; 179.176; 60; 18; 64; 1440
7; 194.591; 70; 24.5; 128; 10080
8; 207.944; 80; 32; 256; 80640
9; 219.722; 90; 40.5; 512; 725760
10; 230.259; 100; 50; 1024; 7257600
11; 239.79; 110; 60.5; 2048; 79833600
12; 248.491; 120; 72; 4096; 958003200
13; 256.495; 130; 84.5; 8192; 12454041600
14; 263.906; 140; 98; 16384; 174356582400
15; 270.805; 150; 112.5; 32768; 2615348736000
16; 277.259; 160; 128; 65536; 41845579776000
17; 283.321; 170; 144.5; 131072; 711374856192000
18; 289.037; 180; 162; 262144; 12804747411456000
19; 294.444; 190; 180.5; 524288; 243290200817664000
20; 299.573; 200; 200; 1048576; 4865804016353280000
